from,to,n
Caldwell County,Kenedy County,0
Caldwell County,Martin County,0
Caldwell County,Jackson County,8
Caldwell County,San Patricio County,0
Caldwell County,Falls County,0
Caldwell County,Sterling County,0
Caldwell County,Gillespie County,21
Caldwell County,Carson County,0
Caldwell County,Dickens County,0
Caldwell County,Dimmit County,0
Caldwell County,Bastrop County,195
Caldwell County,Coke County,0
Caldwell County,Medina County,0
Caldwell County,Menard County,0
Caldwell County,Ochiltree County,0
Caldwell County,Bexar County,167
Caldwell County,Floyd County,0
Caldwell County,Brooks County,0
Caldwell County,Irion County,0
Caldwell County,Cochran County,0
Caldwell County,Kerr County,0
Caldwell County,Marion County,0
Caldwell County,Moore County,0
Caldwell County,Maverick County,0
Caldwell County,Nueces County,4
Caldwell County,Briscoe County,0
Caldwell County,Austin County,20
Caldwell County,Hockley County,0
Caldwell County,Swisher County,0
Caldwell County,Childress County,0
Caldwell County,Kaufman County,0
Caldwell County,Foard County,0
Caldwell County,Schleicher County,0
Caldwell County,Edwards County,0
Caldwell County,Hamilton County,0
Caldwell County,Potter County,0
Caldwell County,Trinity County,0
Caldwell County,Hudspeth County,0
Caldwell County,Brazoria County,0
Caldwell County,Montague County,0
Caldwell County,Tyler County,0
Caldwell County,Burleson County,0
Caldwell County,Llano County,0
Caldwell County,Grimes County,0
Caldwell County,Hansford County,0
Caldwell County,Orange County,0
Caldwell County,Harris County,4
Caldwell County,Nacogdoches County,0
Caldwell County,Shackelford County,0
Caldwell County,Sutton County,0
Caldwell County,Young County,0
Caldwell County,Fayette County,4
Caldwell County,Hood County,0
Caldwell County,Hopkins County,0
Caldwell County,Karnes County,11
Caldwell County,Lubbock County,0
Caldwell County,Coleman County,0
Caldwell County,Washington County,3
Caldwell County,Webb County,10
Caldwell County,Wise County,0
Caldwell County,Fisher County,0
Caldwell County,Oldham County,0
Caldwell County,Williamson County,156
Caldwell County,Armstrong County,0
Caldwell County,Frio County,0
Caldwell County,Erath County,0
Caldwell County,Stonewall County,0
Caldwell County,Anderson County,0
Caldwell County,Duval County,0
Caldwell County,Comal County,172
Caldwell County,Hall County,0
Caldwell County,Hardeman County,0
Caldwell County,Collin County,0
Caldwell County,Motley County,0
Caldwell County,Concho County,0
Caldwell County,Dawson County,0
Caldwell County,Kent County,0
Caldwell County,San Augustine County,0
Caldwell County,Wood County,0
Caldwell County,Garza County,0
Caldwell County,Culberson County,0
Caldwell County,Henderson County,0
Caldwell County,Presidio County,0
Caldwell County,Reeves County,0
Caldwell County,Delta County,0
Caldwell County,Real County,0
Caldwell County,Gaines County,0
Caldwell County,Archer County,0
Caldwell County,Glasscock County,0
Caldwell County,Madison County,0
Caldwell County,Mitchell County,0
Caldwell County,Castro County,0
Caldwell County,Kleberg County,0
Caldwell County,Cottle County,0
Caldwell County,Kimble County,0
Caldwell County,Loving County,0
Caldwell County,Jones County,0
Caldwell County,Reagan County,0
Caldwell County,Hunt County,0
